System,Technique,Threshold,Recall,Precision
GANNT,VSM,0.00,1.000,0.058
GANNT,VSM,0.05,0.721,0.107
GANNT,VSM,0.10,0.426,0.107
GANNT,VSM,0.15,0.353,0.145
GANNT,VSM,0.20,0.279,0.202
GANNT,VSM,0.25,0.206,0.280
GANNT,VSM,0.30,0.176,0.375
GANNT,VSM,0.35,0.147,0.476
GANNT,VSM,0.40,0.132,0.562
GANNT,VSM,0.45,0.088,0.600
GANNT,VSM,0.50,0.059,0.667
GANNT,VSM,0.55,0.029,1.000
GANNT,VSM,0.60,0.015,1.000
GANNT,LDA,0.00,1.000,0.058
GANNT,LDA,0.05,0.235,0.168
GANNT,LDA,0.10,0.221,0.160
GANNT,LDA,0.15,0.221,0.172
GANNT,LDA,0.20,0.206,0.182
GANNT,LDA,0.25,0.191,0.197
GANNT,LDA,0.30,0.191,0.220
GANNT,LDA,0.35,0.176,0.226
GANNT,LDA,0.40,0.176,0.255
GANNT,LDA,0.45,0.147,0.263
GANNT,LDA,0.50,0.147,0.294
GANNT,LDA,0.55,0.088,0.231
GANNT,LDA,0.60,0.059,0.200
GANNT,LDA,0.65,0.029,0.133
GANNT,LDA,0.70,0.029,0.200
GANNT,LDA,0.75,0.029,0.400
GANNT,LDA,0.80,0.015,0.333
GANNT,LDA,0.85,0.015,0.333
GANNT,LDA,0.90,0.015,1.000
GANNT,LDA,0.95,0.015,1.000
IceBreaker,VSM,0.00,0.989,0.015
IceBreaker,VSM,0.05,0.700,0.072
IceBreaker,VSM,0.10,0.654,0.109
IceBreaker,VSM,0.15,0.586,0.148
IceBreaker,VSM,0.20,0.508,0.191
IceBreaker,VSM,0.25,0.414,0.230
IceBreaker,VSM,0.30,0.346,0.272
IceBreaker,VSM,0.35,0.276,0.306
IceBreaker,VSM,0.40,0.214,0.343
IceBreaker,VSM,0.45,0.140,0.350
IceBreaker,VSM,0.50,0.094,0.368
IceBreaker,VSM,0.55,0.048,0.314
IceBreaker,VSM,0.60,0.035,0.340
IceBreaker,VSM,0.65,0.020,0.409
IceBreaker,VSM,0.70,0.013,0.429
IceBreaker,VSM,0.75,0.009,0.364
IceBreaker,VSM,0.80,0.007,0.600
IceBreaker,VSM,0.85,0.004,0.667
IceBreaker,LDA,0.00,0.989,0.015
IceBreaker,LDA,0.05,0.260,0.080
IceBreaker,LDA,0.10,0.254,0.085
IceBreaker,LDA,0.15,0.247,0.091
IceBreaker,LDA,0.20,0.232,0.091
IceBreaker,LDA,0.25,0.228,0.097
IceBreaker,LDA,0.30,0.214,0.099
IceBreaker,LDA,0.35,0.206,0.106
IceBreaker,LDA,0.40,0.193,0.108
IceBreaker,LDA,0.45,0.166,0.112
IceBreaker,LDA,0.50,0.160,0.119
IceBreaker,LDA,0.55,0.153,0.130
IceBreaker,LDA,0.60,0.133,0.140
IceBreaker,LDA,0.65,0.107,0.130
IceBreaker,LDA,0.70,0.101,0.138
IceBreaker,LDA,0.75,0.070,0.131
IceBreaker,LDA,0.80,0.059,0.141
IceBreaker,LDA,0.85,0.039,0.132
IceBreaker,LDA,0.90,0.018,0.085
IceBreaker,LDA,0.95,0.011,0.067
